"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
5744,"sEphB4-HSA in Treating Patients With Metastatic Castration-Resistant Prostate Cancer","Not yet recruiting","No Results Available","Castration Levels of Testosterone|Castration-Resistant Prostate Carcinoma|Castration-Resistant Prostate Carcinoma Refractory to Second-Generation Androgen Receptor Axis-Targeted Agents|Metastatic Prostate Adenocarcinoma|Progressive Disease|Prostate Carcinoma Metastatic in the Bone|Prostate Carcinoma Metastatic in the Soft Tissue|PSA Progression|Stage IVB Prostate Cancer AJCC v8|Testosterone Less Than 50 ng/dL","Biological: Recombinant EphB4-HSA Fusion Protein","USC / Norris Comprehensive Cancer Center, Los Angeles, California, United States|Northwestern University, Chicago, Illinois, United States|University of Chicago Comprehensive Cancer Center, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT04033432"
5745,"Memantine for Prevention of Cognitive Decline in Patients With Breast Cancer","Not yet recruiting","No Results Available","Cognitive Decline|Chemo-brain","Drug: Memantine","University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States","https://ClinicalTrials.gov/show/NCT04033419"
5746,"Study of VIR-2482 in Healthy Volunteers","Not yet recruiting","No Results Available","Influenza A","Drug: VIR-2482|Drug: Placebo",,"https://ClinicalTrials.gov/show/NCT04033406"
5747,"Dual-task Performance in Young-onset PD","Not yet recruiting","No Results Available","Early Onset Parkinson Disease|Early Stage Parkinson Disease","Other: Game based dual-task training|Other: Treadmill training",,"https://ClinicalTrials.gov/show/NCT04033393"
5748,"Clinical Efficacy of Ceramic vs Resin Block Endocrown","Recruiting","No Results Available","Tooth Diseases","Device: Resin blocs (Grandio Blocs, VOCO)|Device: Ceramic (Suprinity, VITA)","NanFang Hospital, Southern Medical University, Guangzhou, Guangdong, China","https://ClinicalTrials.gov/show/NCT04033380"
5749,"SAR231893-LPS15497- ""Dupilumab Effect on Sleep in AD Patients""","Recruiting","No Results Available","Atopic Dermatitis","Drug: DUPILUMAB|Drug: PLACEBO","Investigational Site Number 8400001, Rolling Hills Estates, California, United States|Investigational Site Number 8400005, Denver, Colorado, United States|Investigational Site Number 8400007, Medford, Oregon, United States","https://ClinicalTrials.gov/show/NCT04033367"
5750,"A Randomized, Double-blind, Placebo Controlled Phase III Study to Investigate Efficacy and Safety of First-Line Treatment With HLX10 + Chemotherapy (Carboplatin-Nanoparticle Albumin Bound (Nab) Paclitaxel) in Patients With Stage IIIB/IIIC or IV NSCLC","Recruiting","No Results Available","Squamous Non Small Cell Lung Cancer","Drug: HLX10|Drug: carboplatin and nab paclitaxel|Drug: Placebo","Sun Jia, Shanghai, China","https://ClinicalTrials.gov/show/NCT04033354"
5751,"A Study of LY3214996 in Healthy Participants","Recruiting","No Results Available","Healthy","Drug: LY3214996|Drug: [14C]-LY3214996","Covance Clinical Research Inc, Madison, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT04033341"
5752,"Study of ORIC-101 in Combination With Enzalutamide","Not yet recruiting","No Results Available","Prostatic Neoplasms","Drug: ORIC-101|Drug: enzalutamide 40 MG oral capsule [Xtandi]",,"https://ClinicalTrials.gov/show/NCT04033328"
5753,"[Trial of device that is not approved or cleared by the U.S. FDA]","Withheld","No Results Available",,,,"https://ClinicalTrials.gov/show/NCT04033315"
5754,"Multi-CAR T Cell Therapy Targeting CD7-positive Malignancies","Recruiting","No Results Available","T-cell Acute Lymphoblastic Leukemia|T-cell Acute Lymphoblastic Lymphoma|Acute Myeloid Leukemia|NK Cell Lymphoma","Biological: CD7-specific CAR gene-engineered T cells","Shenzhen Geno-immune Medical Institute, Shenzhen, Guangdong, China","https://ClinicalTrials.gov/show/NCT04033302"
5755,"The Clinical Efficacy of Hip Protection Orthosis for the Protection of Hip Dislocation","Not yet recruiting","No Results Available","Cerebral Palsy","Device: Hip protection orthosis",,"https://ClinicalTrials.gov/show/NCT04033289"
5756,"IVIG/Rituximab vs Rituximab in Kidney Transplant With de Novo Donor-specific Antibodies","Recruiting","No Results Available","Renal Transplant","Drug: Rituximab|Drug: intravenous immune globulin","Seoul National University Hospital, Seoul, Korea, Republic of|Severance Hospital, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT04033276"
5757,"Maintaining Oral Health With Bio-products","Not yet recruiting","No Results Available","Dental Caries|Dental Erosion","Other: Mouth rinse 1|Other: Mouth rinse 2|Other: Mouth rinse 3|Other: Mouth rinse 4|Other: Mouth rinse 5|Other: Mouth rinse 6|Other: Mouth rinse 7|Other: Mouth rinse 8|Other: Mouth rinse 9",,"https://ClinicalTrials.gov/show/NCT04033263"
5758,"Personalized Colonoscopy Preparation for Patients With Risk Factors for Inadequate Preparation","Recruiting","No Results Available","Inadequate Preparation for Colonoscopy; Personalized Colonoscopy Preparation","Drug: Sodium Picosulfate / Magnesium Oxide / Citric Acid in two split doses + one dose of polyethylene glycol + two Bisacodyl tablets day before the procedure","Rambam MC, Haifa, Israel","https://ClinicalTrials.gov/show/NCT04033250"
5759,"Project 4, Study 2: Extended Exposure to Low Nicotine Content Cigarettes in Pregnant Women","Not yet recruiting","No Results Available","Tobacco Use Disorder","Other: Very low nicotine content cigarettes","John Hopkins University, Baltimore, Maryland, United States|University of Vermont, Burlington, Vermont, United States","https://ClinicalTrials.gov/show/NCT04033237"
5760,"Use of EBPT in Critically Ill Patients With AKI and/or Multiorgan Failure: a Multicenter Prospective Observational Registry","Not yet recruiting","No Results Available","Critical Illness|Acute Kidney Injury|Sepsis|Systemic Inflammatory Response Syndrome","Device: Commercial membrane for Extracorporeal Blood Purification Therapy (EBPT)",,"https://ClinicalTrials.gov/show/NCT04033224"
5761,"NOVOsyn® for Trocar Incision After Laparoscopic Appendectomy and Cholecystectomy","Not yet recruiting","No Results Available","Appendicitis|Cholecystitis","Device: Novosyn® CHD for fascia and skin closure|Device: Novosyn® for fascia and skin closure","Klinikverbund Südwest Krankenhaus Leonberg Alllgemeinchirurgie, Leonberg, Baden-Württemberg, Germany|Diakonie Klinikum gGmbH Schwäbisch Hall, Schwäbisch Hall, Baden-Württemberg, Germany|Hospital Germans Trias i Pujol General and Digestive Surgery, Badalona, Spain|General Surgery Department Hospital Plató, Barcelona, Spain|Quironsalud Sagrado Corazón General Surgery, Sevilla, Spain","https://ClinicalTrials.gov/show/NCT04033211"
5762,"Clinicopathological Aspects of Acute Appendicitis in Patients Above Age of Thirty at Sulaimani Emergency Hospital","Not yet recruiting","No Results Available","Acute Appendicitis in Elderly","Procedure: Appendectomy",,"https://ClinicalTrials.gov/show/NCT04033198"
5763,"To Investigate the Effects of Robotic-assisted Gait Training in Stroke Patients","Not yet recruiting","No Results Available","Stroke|Cerebrovascular Disorders","Other: virtual reality, robot assisted gait training|Other: conventional treatment",,"https://ClinicalTrials.gov/show/NCT04033185"
5764,"Pyrotinib Plus Fulvestrant in Patients With HR+/HER2+ Metastatic Breast Cancer (Pyrotinib+Fulvestrant )","Recruiting","No Results Available","Breast Cancer|HER2-positive Breast Cancer","Drug: Pyrotinib Plus Fulvestrant","Cancer Institute and Hospital, Chinese Academy of Medical Sciences, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04033172"
5765,"Early Phase Human Drug Trial to Investigate Dynamin 101 (DYN101) in Patients ≥ 16 Years With Centronuclear Myopathies","Not yet recruiting","No Results Available","Centronuclear Myopathy","Drug: DYN101","Radboud University Medical Centre, Nijmegen, Netherlands","https://ClinicalTrials.gov/show/NCT04033159"
5766,"Optimizing Ankle Exoskeleton Assistance for Walking Across the Life Span","Not yet recruiting","No Results Available","Aging","Device: Altering muscle contractions","Physiology of Wearable Robotics Laboratory (Georgia Tech), Atlanta, Georgia, United States","https://ClinicalTrials.gov/show/NCT04033146"
5767,"Cerebral Blood Flow and tDCS","Not yet recruiting","No Results Available","Multiple Sclerosis","Device: tDCS",,"https://ClinicalTrials.gov/show/NCT04033133"
5768,"Making an Early Diagnosis of Talaromycosis Using a Novel Antigen Test","Not yet recruiting","No Results Available","AIDS/HIV - RelatedDisease Associated With AIDS",,"Hospital for Tropical Diseases, Ho Chi Minh City, Ward 1 District 5, Vietnam|National Hospital for Tropical Diseases, Hà Nội, Vietnam","https://ClinicalTrials.gov/show/NCT04033120"
5769,"High Dose Vitamin C Combined With Metformin in the Treatment of Malignant Tumors","Recruiting","No Results Available","Hepatocellular Cancer|Pancreatic Cancer|Gastric Cancer|Colorectal Cancer","Drug: Vitamin C|Drug: Metformin","Zhongnan Hopital of Wuhan University, Wuhan, Hubei, China","https://ClinicalTrials.gov/show/NCT04033107"
5770,"Baseline Epidemiologic Assessment of Abuse-Deterrence of MorphaBond Extended Release (BEAD-MB)","Active, not recruiting","No Results Available","Baseline Epidemiologic Assessment","Other: This was a retrospective, non-interventional study.","Daiichi Sankyo, Inc., Basking Ridge, New Jersey, United States","https://ClinicalTrials.gov/show/NCT04033094"
5771,"Registry of Retroperitoneal, Abdominal, Pelvic and Truncal Sarcoma Patients Treated With Permanently Implantable LDR CivaSheet® to Evaluate the Safety and Feasibility Over 5 Years","Not yet recruiting","No Results Available","Sarcoma","Device: CivaSheet","Rush University Cancer Center, Chicago, Illinois, United States|Fox Chase Cancer Center, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04033081"
5772,"Safety and Immunogenicity of a Novel Vaccine Formulation MV-ZIKA-RSP","Recruiting","No Results Available","Zika Virus Infection","Biological: Two MV-ZIKA-RSP vaccinations (high dose)|Biological: Two MV-ZIKA-RSP vaccination (low dose)|Biological: One MV-ZIKA-RSP vaccination (high dose) and one placebo|Other: Two placebo injection","Institute of Specific Prophylaxis and Tropical Medicine, Vienna, Austria","https://ClinicalTrials.gov/show/NCT04033068"
5773,"Antalgic Efficacy of CycloMesh™ Soaked in Ropivacaine Hydrochloride in Uncomplicated Inguinal Hernia.","Not yet recruiting","No Results Available","Inguinal Hernia","Procedure: Inguinal hernia repair with CycloMesh™ soaked in ropivacaine hydrochloride 10mg/mL|Procedure: Inguinal hernia repair with CycloMesh™ soaked in saline solution NaCl 9°/°°","Amiens Picardie university hospital, Amiens, France","https://ClinicalTrials.gov/show/NCT04033055"
5774,"Performance and Safety Evaluation of a Novel Non-invasive Glucose Monitoring Device and Evaluation of the Instructions for Use","Not yet recruiting","No Results Available","Diabetes Mellitus","Device: Prototype 0.5","Institut für Diabetes-Technologie Forschungs- und Entwicklungs-gesellschaft mbH an der Universität Ulm (IDT), Ulm, Germany","https://ClinicalTrials.gov/show/NCT04033042"
5775,"Antibiotic Plasma Concentrations During Continuous Renal Replacement Therapy With a High Adsorption Membrane (oXiris®)","Not yet recruiting","No Results Available","Hemodiafiltration|Sepsis|Acute Kidney Injury","Device: Continuous venovenous hemodiafiltration with high adsorption membrane (oXiris®)|Drug: Antibiotics","Helena Colom Codina, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT04033029"
5776,"Use of Motivational Interviewing for Promotion of Physical Activity During Pregnancy","Completed","No Results Available","Physical Activity","Behavioral: motivational interviewing|Behavioral: online social media intervention","Clinical Center of Serbia, Clinic for Gynecology and Obstetrics, Belgrade, Serbia","https://ClinicalTrials.gov/show/NCT04033016"
5777,"Group Antenatal Care and Delivery Project","Recruiting","No Results Available","Antenatal Care","Behavioral: Group ANC","Adawso Health Center, Adawso, Ghana|Adukrom Health Center, Adukrom, Ghana|Klo Agogo Polyclinic, Agogo, Ghana|Abiriw Clinic, Akropong, Ghana|St Martin's Hospital, Akropong, Ghana|Akuse Hospital, Akuse, Ghana|Nkurakan Health Center, Koforidua, Ghana|Tetteh Quarshie Hospital, Mampong, Ghana|Adoagyiri Health Center, Nsawam, Ghana|Djankrom Health Center, Nsawam, Ghana|Nsawam Health Center, Nsawam, Ghana|Nsawam Hospital, Nsawam, Ghana|Atua Hospital, Somanya, Ghana|Somanya Polyclinic, Somanya, Ghana","https://ClinicalTrials.gov/show/NCT04033003"
5778,"Transcutaneous Spinal Stimulation: Safety and Feasibility for Upper Limb Function in Children With Spinal Cord Injury","Not yet recruiting","No Results Available","Spinal Cord Injuries","Device: Biostim-5 transcutaneous spinal stimulator","Department of Neurosurgery, Louisville, Kentucky, United States","https://ClinicalTrials.gov/show/NCT04032990"
5779,"[Trial of device that is not approved or cleared by the U.S. FDA]","Withheld","No Results Available",,,,"https://ClinicalTrials.gov/show/NCT04032977"
5780,"Dose Finding Study of L19TNF and Doxorubicin in Patients With STS","Not yet recruiting","No Results Available","Soft Tissue Sarcoma","Drug: L19TNF|Drug: DOXORUBICIN","Sarcoma Oncology Research Center (SORC) Cancer Center of Southern California, Santa Monica, California, United States","https://ClinicalTrials.gov/show/NCT04032964"
5781,"22 Gauge Needle for EUS Guided Tissue Acquisition of Samples for Histologic Examination","Completed","No Results Available","Abdominal Neoplasms","Other: Fine Needle Tissue Acquisition","ISMETT, Palermo, Italy|Universita cattolica del sacro cuore, Rome, Italy","https://ClinicalTrials.gov/show/NCT04032951"
5782,"Multi-omics Study on Gut Microbiota in Critical Ill Patients After Cardiopulmonary Bypass","Recruiting","No Results Available","Sepsis|Cardiopulmonary Bypass","Procedure: extracorporeal circulation during cardiac surgery","Peking Union Medical College Hospital, Peking Union Medical College and Chinese Academy of Medical Sciences, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04032938"
5783,"The Pressure-controlled Intermittent Coronary Sinus Occlusion on VentrIcular PERformance Study","Not yet recruiting","No Results Available","Myocardial Infarction","Device: PICSO",,"https://ClinicalTrials.gov/show/NCT04032925"
5784,"The Non-Optical Resect and Discard Study (NORD)","Completed","No Results Available","Polyp of Colon","Diagnostic Test: iScan","Centre Hospitalier Universitaire de Montréal (CHUM), Montréal, Quebec, Canada","https://ClinicalTrials.gov/show/NCT04032912"
5785,"Effect of Probiotics Consumed During Pregnancy on the Incidence of Mastitis","Recruiting","No Results Available","Mastitis|Breast Milk|Lactation|Women's Health|Infant Health","Dietary Supplement: Lactobacillus fermentum CECT5716|Dietary Supplement: Placebo","Hospital Costa del Sol, Marbella, Andalucia, Spain|Hospital Campus de la Salud, Granada, Grabada, Spain|Hospital Virgen de las Nieves, Granada, Spain","https://ClinicalTrials.gov/show/NCT04032899"
5786,"Does Mechanical Correction Reduce Muscle Stiffness in People With Rounded Shoulder?","Recruiting","No Results Available","Posture","Other: kinesio tape|Other: exercise","Aydın Adnan Menderes University, Aydın, Turkey","https://ClinicalTrials.gov/show/NCT04032886"
5787,"Distal Radius Buckle Fracture RCT","Recruiting","No Results Available","Distal Radius Fracture","Other: Monetary Cost of Immobilization Treatments|Other: Physician|Other: Study Team|Other: Before Initial Treatment Decision|Other: After Initial Treatment Decision","Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04032873"
5788,"RCT of Different Effects of Nucleot(s)Ide Analogues on the Prognosis of HBV-HCC Patients After Curative Resection","Recruiting","No Results Available","HCC|HBV Coinfection","Drug: Tenofovir Disoproxil|Drug: Entecavir","West China Hospital, Sichuan University, Chengdu, Sichuan, China","https://ClinicalTrials.gov/show/NCT04032860"
5789,"ATL001 in Patients With Advanced Unresectable or Metastatic NSCLC","Recruiting","No Results Available","Advanced Non Small Cell Lung Cancer","Biological: ATL001","University College London Hospital (UCLH), London, United Kingdom|Freeman Hospital, Newcastle, United Kingdom","https://ClinicalTrials.gov/show/NCT04032847"
5790,"A Comparison of VR647 and Conventionally Nebulized Budesonide in Healthy Volunteers and Adult Asthma Subjects","Completed","No Results Available","Asthma","Combination Product: VR647 Inhalation Suspension (budesonide) 1 mg/2 mL delivered by the VR647 Inhalation System (AKITA JET) with mouthpiece|Combination Product: VR647 Inhalation Suspension (budesonide) 1 mg/2 mL delivered by the VR647 Inhalation System (AKITA JET) with facemask|Combination Product: 1 mg/2 mL Pulmicort Respules delivered by a conventional jet nebulizer (PARI VIOS) with mouthpiece|Combination Product: 1 mg/2 mL Pulmicort Respules delivered by a conventional jet nebulizer (PARI VIOS) with facemask|Combination Product: 0.5 mg/2 mL Pulmicort Respules delivered by a conventional jet nebulizer (PARI VIOS) with mouthpiece|Combination Product: 0.5 mg/2 mL Pulmicort Respules delivered by a conventional jet nebulizer (PARI VIOS) with facemask","Celerion, Tempe, Arizona, United States|Anaheim Clinical Trials, LLC, Anaheim, California, United States","https://ClinicalTrials.gov/show/NCT04032834"
5791,"To Evaluate the Effect of Food on the Pharmacokinetic Characteristics of Ocatinib Capsules in Healthy Subjects","Not yet recruiting","No Results Available","NSCLC","Drug: Alkotinib（300mg)","The first Bethune hospital of jilin university, Changchun, Jilin, China","https://ClinicalTrials.gov/show/NCT04032821"
5792,"Evaluation of the Performance of Self-monitoring Optimized by Therapeutic Education in the Recurrence of Wet Age-related Macular Degeneration (AMD)","Recruiting","No Results Available","Age-related Macular Degeneration",,"Clinique Beau Soleil, Montpellier, France","https://ClinicalTrials.gov/show/NCT04032808"
5793,"Evaluation of Efficacy of Lycium Barbarum Polysaccharide in People With Subthreshold Depression","Not yet recruiting","No Results Available","Subthreshold Depression|Depressive Symptoms|Anxious Symptoms","Dietary Supplement: Lycium barbarum polysaccharide|Dietary Supplement: Placebo",,"https://ClinicalTrials.gov/show/NCT04032795"
5794,"A First-in-Human, Study to Assess Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of HM15136 in Healthy Subjects","Recruiting","No Results Available","Pharmacology","Drug: HM15136|Drug: Placebo of HM15136","Seoul National University Hospital, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT04032782"
5795,"Modified Strategy to Safely Rule Out Pulmonary Embolism in the Emergency Department","Not yet recruiting","No Results Available","Pulmonary Embolism","Other: MODS (MOdified Diagnostic Strategy)","Emergency department Hospital Pitié-Salpêtrière, Paris, France","https://ClinicalTrials.gov/show/NCT04032769"
5796,"Tofacitinib Registry of Patients With Ulcerative Colitis in Germany","Not yet recruiting","No Results Available","Colitis, Ulcerative|Biologics|Tofacitiniib|Chronic Inflammatory Small Bowel Disease|Bowel Diseases, Inflammatory|Bowel Disease|CED",,,"https://ClinicalTrials.gov/show/NCT04032756"
5797,"Risk Factors and Treatment Outcome of Oncology Children Hospitalized in the Intensive Care Unit Due to Sepsis","Active, not recruiting","No Results Available","Oncologic Complications and Emergencies|ICU|Sepsis|Childhood Cancer","Other: ICU treatment","Schneider Children's Medical Center of Israel, Petach Tikva, Israel","https://ClinicalTrials.gov/show/NCT04032743"
5798,"Promoting Engagement in the Drug Resistant TB-HIV Care Continuum in South Africa PRAXIS Study","Recruiting","No Results Available","Adherence, Patient","Device: Wisepill device","King Dinuzulu Hospital, Durban, KwaZulu Natal, South Africa","https://ClinicalTrials.gov/show/NCT04032730"
5799,"Griffithsin-based Rectal Microbicide for PREvention of Viral ENTry (PREVENT)","Recruiting","No Results Available","HIV Prevention","Drug: Q-Griffithsin (Q-GRFT) enema|Other: Placebo enema","HIV/AIDS Clinical Research Unit / University of Pittsburgh, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04032717"
5800,"A Study of Ladiratuzumab Vedotin in Advanced Solid Tumors","Recruiting","No Results Available","Small Cell Lung Cancer|Non-small Cell Lung Cancer, Squamous|Non-small Cell Lung Cancer, Non-squamous|Head and Neck Squamous Cell Carcinoma|Esophageal Squamous Cell Carcinoma|Gastric Adenocarcinoma|Gastroesophageal Junction Adenocarcinoma","Drug: ladiratuzumab vedotin","Saint Joseph Heritage Medical Group, Santa Rosa, California, United States","https://ClinicalTrials.gov/show/NCT04032704"
5801,"PET Study of a2a Agonist Effects on the Ventricular CSF Clearance of [11C]Butanol","Not yet recruiting","No Results Available","Healthy Volunteers","Drug: Clonidine Pill",,"https://ClinicalTrials.gov/show/NCT04032691"
5802,"Comparison of Efficacy and Safety of Two Biphasic Defibrillators in Cardioversion of Atrial Fibrillation","Recruiting","No Results Available","Atrial Fibrillation|Arrythmia|Electric Countershock","Device: Schiller Defigard Touch 7 - DGT7, Schiller Medical, France|Device: LIFEPAK 15, Physio-Control Inc., Redmond, WA, USA","University National Heart Hospital, Sofia, Bulgaria","https://ClinicalTrials.gov/show/NCT04032678"
5803,"Reveal Transition - A Mechanistic Study in Transition / Stabilized Phase of CAD","Enrolling by invitation","No Results Available","Cardiovascular Diseases","Diagnostic Test: Rivaroxaban","University Hospital Tuebingen, Tuebingen, Germany","https://ClinicalTrials.gov/show/NCT04032665"
5804,"Use of Rectal Dialysis Technique to Measure Rectal 5-ASA Levels in Healthy Volunteers Receiving Asacol","Terminated","No Results Available","Ulcerative Colitis","Procedure: Rectal dialysis|Drug: Rectal dialysis",,"https://ClinicalTrials.gov/show/NCT04032652"
5805,"Stress and Brain Response Using MEG in PWS","Recruiting","No Results Available","Prader-Willi Syndrome",,"The Hospital for Sick Children, Toronto, Ontario, Canada|The Hospital for Sick Children, Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT04032639"
5806,"MCLENA-1: A Clinical Trial for the Assessment of Lenalidomide in Amnestic MCI Patients","Not yet recruiting","No Results Available","Cognitive Impairment, Mild|Cognitive Dysfunction|Amyloid Plaque|Neurodegeneration|Inflammation, Brain","Drug: Lenalidomide 10 mg|Drug: Placebos",,"https://ClinicalTrials.gov/show/NCT04032626"
5807,"Breaking Down Care Process and Patient-level Barriers to Arteriovenous Access Creation Prior to Hemodialysis Initiation","Recruiting","No Results Available","Chronic Kidney Disease|Chronic Kidney Disease Requiring Chronic Dialysis","Other: Vascular Access Navigation and Education Quality Improvement Program","Geisinger Danville Nephrology Clinic, Danville, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04032613"
5808,"Malignant Ascites in Ovarian Cancer: Impact of Total Paracentesis on Hemodynamics","Recruiting","No Results Available","Malignant Ascites|Ovarian Cancer|Hemodynamic Instability","Procedure: Paracentesis","Charite-University Medicine of Berlin, Department of Gynecology-Campus Virchow Klinikum, Berlin, Germany","https://ClinicalTrials.gov/show/NCT04032600"
5809,"Modification of Pavlovian and Instrumental Learning in Human Addiction","Not yet recruiting","No Results Available","Healthy|Alcohol Use Disorder (Mild vs. Moderate to Heavy)","Behavioral: Modified training version of the Approach / Avoidance Task (AAT, see Wiers et al., 2011)|Behavioral: Mindfulness-based interventions (e.g. body scan)",,"https://ClinicalTrials.gov/show/NCT04032587"
5810,"Efficacy and Tolerability of a Phytotherapy Combination (Aqualibra) in Patients With Uncomplicated Cystitis","Completed","No Results Available","Urinary Tract Infection Lower Acute","Combination Product: Herbal Medicinal Product|Other: Placebo",,"https://ClinicalTrials.gov/show/NCT04032574"
5811,"Relationship Between HbA1c Level, Sleep Quality and Sleep Duration","Recruiting","No Results Available","Diabetes Mellitus, Type 2|Pre Diabetes|Sleep Disorder",,"NHS/HSC Site, London, United Kingdom","https://ClinicalTrials.gov/show/NCT04032561"
5812,"Effectiveness of Propolis Mouthwash on Gingivitis","Completed","No Results Available","Gingivitis","Drug: Placebo mouthwash|Drug: Propolis mouthwash|Drug: Chlorhexidine mouthwash","Shilpa, Jenjarum, Selangor, Malaysia","https://ClinicalTrials.gov/show/NCT04032548"
5813,"Investigate the Safety, Tolerability and Pharmacokinetics of CHF6523 in Healthy and in COPD Subjects","Recruiting","No Results Available","COPD","Drug: CHF6523","Richmond Pharmacology, London, United Kingdom","https://ClinicalTrials.gov/show/NCT04032535"
5814,"Neonatal HIV Early Infant Diagnosis (EID) Versus Standard of Care EID- Long Term Impact on inFant hEalth (LIFE)","Not yet recruiting","No Results Available","HIV, Neonatal HIV Early-Infant-Diagnosis (EID), Point-of-Care Testing (PoC)","Other: point-of care (PoC) neonatal HIV early infant diagnosis (EID)",,"https://ClinicalTrials.gov/show/NCT04032522"
5815,"A Study of Biomarkers of Mild Traumatic BRAIN Injury","Not yet recruiting","No Results Available","Mild Traumatic Brain Injury","Other: 2 x 5 mL blood sample","CHU Bordeaux, Bordeaux, France|CHU Dijon, Dijon, France|CHU Grenoble Alpes, Grenoble, France|Hopital Edouard HERRIOT - HCL, Lyon, France|Hopital Lyon Sud HCL, Lyon, France|CHU Montpellier, Montpellier, France|CHU Nantes, Nantes, France|CHU Poitiers, Poitiers, France|CHU Tours, Tours, France|Hospital Universitario de 12 Octubre, Madrid, Spain","https://ClinicalTrials.gov/show/NCT04032509"
5816,"Contemplation-Based Intervention and Health Outcomes RCT in Lupus Patients","Not yet recruiting","No Results Available","Lupus Erythematosus, Systemic","Behavioral: Contemplative-Based Intervention for People Living with SLE|Behavioral: Health Enhancement Program (HEP)",,"https://ClinicalTrials.gov/show/NCT04032496"
5817,"A Survey of Financial Toxicity in Rural Cancer Patients","Not yet recruiting","No Results Available","Financial Toxicity",,,"https://ClinicalTrials.gov/show/NCT04032483"
5818,"Boston Scientific Registry of Deep Brain Stimulation for Treatment of Essential Tremor (ET)","Not yet recruiting","No Results Available","Essential Tremor","Device: Deep Brain Stimulation Systems (DBS)","Boston Scientific Clinical Research, Valencia, California, United States","https://ClinicalTrials.gov/show/NCT04032470"
5819,"PAVES Benchmarking Pilot Study of Daily Disposable Contact Lenses","Recruiting","No Results Available","Refractive Errors","Device: Phase A - olifilcon B with Tangible Coatings|Device: Phase B - etafilcon A with Tangible Coatings","Ross Eyecare, Atlanta, Georgia, United States|Professional Eye Care Center, Niles, Illinois, United States|RevolutionEyes, Carmel, Indiana, United States|Andover Optometry on Central, Andover, Massachusetts, United States|Professional VisionCare, Westerville, Ohio, United States|Primary Eyecare Group, PC, Brentwood, Tennessee, United States","https://ClinicalTrials.gov/show/NCT04032457"
5820,"Collecting Orthopedic Safety and Performance Data Using Surgeons Clinical Outcomes Registry (SCOR)","Recruiting","No Results Available","Orthopedics",,"Orthopedic Surgeon, Bradenton, Florida, United States|Orthopedic Surgeon, Pensacola, Florida, United States|Orthopedic Surgeon, Augusta, Georgia, United States|Orthopedic Surgeon, Overland Park, Kansas, United States|Orthopedic Surgeon, Peabody, Massachusetts, United States|Orthopedic Surgeon, Saint Clair Shores, Michigan, United States|Orthopedic Surgeon, Florham Park, New Jersey, United States|Orthopedic Surgeon, Sioux Falls, South Dakota, United States","https://ClinicalTrials.gov/show/NCT04032444"
5821,"Upper Limb Telerehabilitation With Virtual Reality in Multiple Sclerosis","Not yet recruiting","No Results Available","Multiple Sclerosis","Behavioral: Telerehab VR intervention","The Multiple Sclerosis Center, Sheba Medical Center, Tel HaShomer, Israel|Laboratorio di Biomeccanica ed Ergonomia industriale - Università degli Studi di Cagliari, Monserrato, Cagliari, Italy","https://ClinicalTrials.gov/show/NCT04032431"
5822,"Pembrolizumab Every 12 Weeks Versus Every 3 Weeks in Treating Patients With Non-small Cell Lung Cancer","Not yet recruiting","No Results Available","Lung Non-Small Cell Carcinoma","Biological: Pembrolizumab","Roswell Park Cancer Institute, Buffalo, New York, United States","https://ClinicalTrials.gov/show/NCT04032418"
5823,"Clinical Evaluation of Injectable Platelet Rich Fibrin With Connective Tissue Graft for the Treatment of Deep Gingival Recession Defects.","Completed","No Results Available","Gingival Recession","Procedure: CAF+CTG+i-prf","Cukurova University, Adana, Balcalı, Turkey","https://ClinicalTrials.gov/show/NCT04032405"
5824,"Immunotherapy of Advanced Hepatitis B Related Hepatocellular Carcinoma With γδT Cells","Not yet recruiting","No Results Available","Hepatocellular Carcinoma","Biological: autologous γδT cells","Beijing 302 Hospital of China, Beijing, Beijing, China|Beijing 302 hospital, Beijing, China","https://ClinicalTrials.gov/show/NCT04032392"
5825,"Diagnostic and Prognostic Biomarkers of Idiopathic Intracranial Hypertension","Recruiting","No Results Available","Benign Intracranial Hypertension","Other: Standard treatment","The Danish Headache Center, Department of Neurology, Rigshospitalet-Glostrup, Copenhagen, Glostrup, Denmark|Odense University Hospital, Department of Neurology, Odense, Region Syddanmark, Denmark","https://ClinicalTrials.gov/show/NCT04032379"
